Title,Price,Capacity,Country,Unit,Characteristics,Quantity,Type,ABV,Vintage
"Château d'Anglès 'Grand Vin' 2019/20, La Clape",18.99,75.0,France,10.9,"Spice, Black Fruit, Dried Herbs",per bottle,Red,14.5,2020
Bouvet Ladubay Saumur Rosé Brut,14.99,75.0,France,9.4,"Strawberry, Floral, Peach, Raspberry, Red Fruit",per bottle,Rosé,12.5,Non-Vintage
"Petaluma ‘White Label’ Sauvignon Blanc 2021, Adelaide Hills",19.99,75.0,Australia,9.4,"Grapefruit, Grass, Lemon, Melon, Passionfruit",per bottle,White,12.5,2021
"Beato Bartolomeo ‘Naturae' Pinot Noir 2021, Veneto",11.99,75.0,Italy,9.0,"Raspberry, Red Fruit, Strawberry",per bottle,Red,12.0,2021
"Beato Bartolomeo ‘Naturae' Vespaiolo 2022, Breganze DOC",11.99,75.0,Italy,9.0,"Grapefruit, Honey, Lemon",per bottle,White,12.0,2022
Chosen by Majestic Picpoul de Pinet 2022,11.29,75.0,France,9.0,"Citrus Fruit, Green Apple, Mineral",per bottle,White,12.0,2022
Piccini ‘Histrio’ Organic Anfora Toscana Bianco 2022,12.99,75.0,Italy,9.4,"Floral, Spice, Tropical Fruit",per bottle,White,12.5,2022
Piccini ‘Histrio’ Organic Anfora Toscana Rosso 2020,12.99,75.0,Italy,10.1,"Floral, Red Cherry, Red Fruit",per bottle,Red,13.5,2020
"Château Minuty 'M de Minuty' Rosé 2021/22, Côtes de Provence",17.99,75.0,France,9.8,"Strawberry, Herbaceous, Peach, Raspberry",per bottle,Rosé,13.0,2022
Nicolas Feuillatte 'Grande Réserve' Brut Champagne,29.99,750.0,France,9.0,-,per bottle,White,12.0,Non-Vintage
Louis Jadot 'Les Roches Blanches' Mâcon-Villages 2022,16.99,75.0,France,9.8,"Peach, Apricot, Floral, Lemon",per bottle,White,13.0,2022
"Toast & Honey Chardonnay 2021, California",14.99,75.0,USA,9.8,"Almond, Coconut, Green Apple, Honey, Peach, Pineapple, Stone Fruit, Vanilla, Toast",per bottle,White,13.0,2021
Domini Veneti 'La Casetta' Valpolicella Ripasso DOC Superiore 2019,18.99,75.0,Italy,10.9,"Vanilla, Fig, Red Cherry, Red Plum, Sweet Spice",per bottle,Red,14.5,2019
Langlois-Chateau 'L'Extra par Langlois' Crémant de Loire Brut,15.99,75.0,France,9.4,"Bread, Green Apple, Pear",per bottle,White,12.5,Non-Vintage
"The Guv'nor Blanco, Spain",8.99,75.0,Spain,9.4,"Lime, Fennel, Green Apple",per bottle,White,12.5,Non-Vintage
E. Guigal Côtes du Rhône 2019/20,14.99,75.0,France,11.3,"White Pepper, Black Plum, Blackberry, Earth, Raspberry, Spice",per bottle,Red,15.0,2020
"Ridgeview 'Fitzrovia' Rosé, Sussex",43.99,750.0,England,9.0,"Honey, Lemon, Raspberry, Red Cherry",per bottle,Rosé,12.0,Non-Vintage
"Toast & Honey Pinot Noir 2021/22, California",14.99,75.0,USA,9.8,"Black Cherry, Cedar, Raspberry, Red Fruit, Smoke, Toast",per bottle,Red,13.0,2022
"Selladore en Provence Rosé 2021, Coteaux Varois en Provence",21.99,75.0,France,9.8,"Citrus Fruit, Red Fruit, Mineral",per bottle,Rosé,13.0,2021
Definition Gavi di Gavi DOCG 2021/22,14.99,75.0,Italy,9.4,"Green Apple, Herbaceous, Pear",per bottle,White,12.5,2022
"Pasqua 'Desire, Lush & Zin' Primitivo 2021/22, Puglia",12.99,75.0,Italy,10.1,"Vanilla, Black Fruit, Black Plum",per bottle,Red,13.5,2022
La Toledana Gavi di Gavi DOCG 2021,15.99,75.0,Italy,9.8,"Lime, Citrus Fruit, Floral, Green Apple, Lemon",per bottle,White,13.0,2021
"Toast & Honey Cabernet Sauvignon 2021, California",14.99,75.0,USA,9.8,-,per bottle,Red,13.0,2021
"The Guv'nor Sparkling, Spain",9.99,75.0,Spain,9.4,"Citrus Fruit, Peach, Vanilla",per bottle,White,12.5,Non-Vintage
"Beefsteak Club Malbec 2021/22, Mendoza",9.99,75.0,Argentina,10.1,"Violet, Black Fruit, Red Fruit, Ripe Fruit",per bottle,Red,13.5,2022
"Finca Carelio Tempranillo 2018/19, Spain",9.99,75.0,Spain,10.9,"Cedar, Black Cherry, Blackcurrant",per bottle,Red,14.5,2019
Louis Roederer 'Collection 243' Brut Champagne,61.99,750.0,France,9.4,"Biscuit, Bread, Citrus Fruit",per bottle,White,12.5,Non-Vintage
Château Méaume Bordeaux Supérieur 2019/20,13.99,75.0,France,10.9,"Tobacco, Black Plum, Blackcurrant, Cedar, Leather",per bottle,Red,14.5,2020
Maison Alexandre Gauvin Gevrey-Chambertin 2017/19,57.99,75.0,France,10.1,"Strawberry, Earth, Raspberry, Red Cherry",per bottle,Red,13.5,2019
Definition White Burgundy 2021/22,14.99,75.0,France,9.8,"Vanilla, Cream, Lemon, Peach",per bottle,White,13.0,2021
Domaine la Troupe ‘Cuvée Marie’ Viré-Clessé 2020/21,16.99,75.0,France,9.8,"Citrus Fruit, Green Apple, Stone Fruit",per bottle,White,13.0,2021
"Primo Rosso Appassimento 2021/22, Puglia",11.99,75.0,Italy,10.9,"Vanilla, Black Fruit, Black Plum",per bottle,Red,14.5,2022
Château d’Estoublon ‘Roseblood’ Rosé Méditerranée 2022,20.99,75.0,France,9.4,"Citrus Fruit, Peach, Red Fruit",per bottle,Rosé,12.5,2022
"Capaia One 2019/20, Tygerberg",15.99,75.0,South Africa,10.9,"Spice, Blackberry, Blackcurrant, Cedar, Leather",per bottle,Red,14.5,2020
"Barista Pinotage 2021/22, Western Cape",11.99,75.0,South Africa,9.8,"Vanilla, Black Fruit, Black Plum, Chocolate, Coffee",per bottle,Red,13.0,2022
"Men in White Coats Viognier 2022, Western Cape",9.99,75.0,South Africa,10.1,"Tropical Fruit, Citrus Fruit, Floral, Stone Fruit",per bottle,White,13.5,2022
"Definition Viognier 2020/21, Languedoc",11.99,75.0,France,10.5,"Peach, Apricot, Honeysuckle",per bottle,White,14.0,2021
"Alluria Organic Pinot Grigio 2021/22, Sicily",9.99,75.0,Italy,9.0,"Peach, Citrus Fruit, Floral",per bottle,White,12.0,2022
"Pringle Bay Sauvignon Blanc 2021/22, Western Cape",9.99,75.0,South Africa,9.4,"Gooseberry, Grapefruit, Grass, Green Apple, Lemon, Tropical Fruit",per bottle,White,12.5,2022
Taittinger Prestige Brut Rosé Champagne,57.99,75.0,France,9.4,"Raspberry, Red Cherry, Strawberry",per bottle,Rosé,12.5,Non-Vintage
Bouvet Ladubay 'Blanc de Blancs' Crémant de Loire 2020/21,18.99,75.0,France,9.4,"Pear, Floral, Green Apple",per bottle,White,12.5,2021
"Brio de Cantenac Brown 2015, Margaux",44.99,75.0,France,10.5,"Red Fruit, Savoury, Spice",per bottle,Red,14.0,2015
"Gérard Bertrand 'Côte des Roses' Rosé 2021/22, Languedoc",13.99,75.0,France,10.1,"Strawberry, Floral, Grapefruit, Peach, Raspberry",per bottle,Rosé,13.5,2022
Piper-Heidsieck 'Cuvée Brut' Champagne,39.99,75.0,France,9.0,"Almond, Green Apple, Lemon",per bottle,White,12.0,Non-Vintage
Jean-Pierre Bailly ‘Les Griottes’ Pouilly-Fumé 2021/22,19.99,75.0,France,10.5,"Smoke, Citrus Fruit, Grass, Green Apple",per bottle,White,14.0,2022
"Barista Chardonnay 2021/22, Western Cape",11.99,75.0,South Africa,10.1,"Vanilla, Cream, Stone Fruit",per bottle,White,13.5,2022
Famille Brocard Chablis 2021/22,19.99,75.0,France,9.8,"Citrus Fruit, Grapefruit, Lemon",per bottle,White,13.0,2022
Agostina Pieri Brunello di Montalcino DOCG 2017/18,36.99,75.0,Italy,11.6,"Spice, Black Fruit, Herbaceous",per bottle,Red,15.5,2018
"Casa Ermelinda Freitas Alicante Bouschet Reserva 2019, Setúbal",16.99,75.0,Portugal,10.9,"Black Fruit, Blackberry, Earth, Sweet Spice",per bottle,Red,14.5,2019
"Bread & Butter Reserve Pinot Noir 2020/21, Russian River Valley",29.99,750.0,USA,10.9,"Black Cherry, Raspberry, Red Cherry, Strawberry, Sweet Spice",per bottle,Red,14.5,2021
"Pasqua DLZ ‘Idealysta’ Chardonnay-Fiano 2022, Puglia",12.99,75.0,Italy,9.4,"Apricot, Orange, Peach, Stone Fruit",per bottle,White,12.5,2022
"Villiera Cap Classique Brut, Stellenbosch",16.99,750.0,South Africa,8.6,"Bread, Citrus Fruit, Red Apple",per bottle,White,11.5,Non-Vintage
Laurent-Perrier Millésimé 2012 Brut Champagne,69.99,75.0,France,9.0,"Apricot, Lemon, Pastry",per bottle,White,12.0,2012
"Chapel Down Bacchus 2021/22, Kent",17.99,75.0,England,9.4,"Grass, Citrus Fruit, Gooseberry, Grapefruit",per bottle,White,12.5,2022
Louis Violland Mercurey Blanc 2018/19,24.99,75.0,France,10.5,"Floral, Green Apple, Peach",per bottle,White,14.0,2019
Chosen by Majestic Beaujolais Villages 2022,11.99,75.0,France,9.8,"Blackcurrant, Raspberry, Red Fruit",per bottle,Red,13.0,2022
"Pasqua DLZ 'Idealysta' Rosé 2022, Puglia",12.99,75.0,Italy,9.4,"Red Apple, Red Cherry, Strawberry",per bottle,Rosé,12.5,2022
"Gérard Bertrand 'Hampton Water' Rosé 2021/22, Languedoc",17.99,75.0,France,10.1,"Floral, Peach, Raspberry, Strawberry",per bottle,Rosé,13.5,2022
"Domaine Aimé Arnoux Viognier 2021/22, Rhone Valley",11.99,75.0,France,9.8,"Apricot, Fig, Peach, Stone Fruit",per bottle,White,13.0,2021
"Managers’ Choice: Zocker Grüner Veltliner 2019/20, Edna Valley",17.99,75.0,USA,10.1,"Lemon, Lime, Melon, Pear, White Pepper",per bottle,White,13.5,2020
Inama Soave Classico DOC 2021/22,16.99,75.0,Italy,9.0,"Honey, Almond, Citrus Fruit, Floral",per bottle,White,12.0,2022
"Casella 'PepperBox' Shiraz 2020/21, South Eastern Australia",11.99,75.0,Australia,10.5,"Black Pepper, Black Plum, Spice, Vanilla",per bottle,Red,14.0,2021
"Winemaker Series Godello 2020/22, Monterrei",12.99,75.0,Spain,9.8,"Pear, Grapefruit, Lemon",per bottle,White,13.0,2022
Definition Fleurie 2021,13.99,75.0,France,9.8,"Red Fruit, Rose, Violet",per bottle,Red,13.0,2021
"Domaine de Villemajou Rosé 2022, Corbières",19.99,75.0,France,9.8,"Cream, Red Apple, Strawberry",per bottle,Rosé,13.0,2022
